feature,mae_increase,std
non_striker_matchup_balls,-3.661051765938931e-05,0.00017595112291885514
bowler_season_outs,-3.731149528067116e-05,0.0001542449434165803
venue_phase_wicket_rate,-5.1272340452139055e-05,0.00029552051434876574
bowler_career_average,-5.25413611761986e-05,0.0005340059218043801
sixes_last_5_overs,-5.29254108871946e-05,0.0018798882296013919
non_striker_season_runs,-5.323154055458801e-05,0.00010828281826131562
non_striker_season_strike_rate,-6.581335387600973e-05,0.00015455326827896828
opposition_run_rate,-7.189151969303846e-05,9.423496820532855e-05
sixes_last_1_overs,-7.580032059066137e-05,9.501623061358589e-05
bowler_career_strike_rate,-8.168917428748775e-05,0.00024192833870878886
batter_matchup_economy,-8.578473339415638e-05,0.00041973618732732497
non_striker_season_economy,-0.00010576450724005444,5.8565084253966054e-05
non_striker_season_outs,-0.00011419062779231363,0.00014874152648292017
boundaries_last_1_overs,-0.00011598284224353013,0.0013921311612893313
runs_last_12_deliveries,-0.00013575870923743238,0.00019781203448628173
bowler_season_runs,-0.0001367588392315137,0.00029065292356418674
boundaries_last_3_overs,-0.00014096737657798286,7.967931899047251e-05
batter_season_dot_rate,-0.0001437338749425976,0.0002449662977256523
bowler_season_strike_rate,-0.00017062132776250274,0.00032436140755160716
non_striker_season_boundary_rate,-0.00021421960136924767,0.00032214689767602774
dot_rate_last_6_deliveries,-0.00023332953744548135,4.5738703410882806e-05
non_striker_career_economy,-0.00023385781251761273,0.00024636037076382545
sixes_last_2_overs,-0.00023435996151407087,0.00017398643056425599
bowler_match_wickets,-0.0002363349851588481,0.001048427205818443
team_boundary_rate,-0.00024161711639717845,9.645737175917191e-05
sixes_last_3_overs,-0.0002859087245593213,0.0003721254473688191
runs_last_3_overs,-0.00030738846214983795,0.0006996486951957528
current_run_rate,-0.00037204685653720776,0.0003473658963624485
non_striker_matchup_boundary_rate,-0.00040011866384700073,0.00012740839013007996
non_striker_career_outs,-0.0004427121202878285,0.00012485907217597744
opposition_boundary_rate,-0.0004459355104241188,0.00021786978395147216
non_striker_middle_sr,-0.0004523226295397957,0.00031591516724580005
batter_matchup_dot_rate,-0.000470724610786899,0.00010340322015409205
dot_rate_last_12_deliveries,-0.00047106586267009476,0.00034576594062810757
batter,-0.0005125041739364455,0.0009939667721211164
runs_last_18_deliveries,-0.0005269341975878324,0.001282106104607109
boundaries_last_2_overs,-0.0005304933391242864,0.00039252571792846826
non_striker_matchup_average,-0.0005542897069212849,0.00012923051743196653
non_striker_matchup_six_rate,-0.0005737186336716901,0.0005877433166323457
batter_season_outs,-0.000591308099973246,0.00011759907580078214
non_striker,-0.0005914487085202739,0.0006397774755128035
bowler_powerplay_economy,-0.0006000858117092278,0.0004342543931974655
bowler_season_economy,-0.000611031489954191,0.0002252087533549493
batter_innings_sr,-0.0006953925850258594,0.000535175999764822
batter_matchup_balls,-0.0007532859552020396,9.818943694252706e-05
venue_phase_run_rate,-0.0008692239537862653,0.00014177138508423548
batter_career_dot_rate,-0.0009710374931324317,0.0002811114230454471
venue_balls,-0.001868879073106881,0.0012794187374207807
